time,minvar_x,minvar_y,minvar_z
"2019-08-02/02:32:19",0.7112336843717113,-0.7029187039501599,0.007207069589535020
"2019-08-02/02:32:34",0.7109111185827829,-0.7032386460951193,0.007796673244418210
"2019-08-02/02:32:49",0.7131991125607634,-0.7009286158632229,0.006789794297804830
"2019-08-02/02:33:04",0.7145206467556010,-0.6995622154860641,0.008541195711790333
"2019-08-02/02:33:19",0.7157009988942363,-0.6983688245102652,0.007284581933280443
"2019-08-02/02:33:34",0.7193465545739299,-0.6946024327604037,0.008245897522100712
"2019-08-02/02:33:49",0.7196041222342641,-0.6943286903076820,0.008807785140038877
"2019-08-02/02:34:04",0.7236697452935752,-0.6901039158681171,0.007660616830426095
"2019-08-02/02:34:19",0.7250227296730919,-0.6886519950611032,0.01002353010376401
"2019-08-02/02:34:34",0.7270078027530399,-0.6865812207316957,0.008116777363696381
"2019-08-02/02:34:49",0.7308051065655138,-0.6825156416453309,0.009813008062259994
"2019-08-02/02:35:04",0.7307594975818693,-0.6825536352006313,0.01054000798376185
"2019-08-02/02:35:19",0.7354955952607340,-0.6774741616622011,0.008659655429410313
"2019-08-02/02:35:34",0.7361654266554744,-0.6767065943922409,0.01134238525262475
"2019-08-02/02:35:49",0.7388730530037229,-0.6737832905724134,0.009093343189881465
"2019-08-02/02:36:04",0.7421484425502544,-0.6701383138554977,0.01141619565100265
"2019-08-02/02:36:19",0.7424101337525792,-0.6698615315134600,0.01061705702725884
"2019-08-02/02:36:34",0.7470891443731796,-0.6646404016446867,0.01053313160176154
"2019-08-02/02:36:49",0.7470768105887092,-0.6646222031590554,0.01239218094629816
"2019-08-02/02:37:04",0.7502940493941451,-0.6610252191173303,0.01022248182303286
"2019-08-02/02:37:19",0.7523244510263815,-0.6586668363904487,0.01288095599139929
"2019-08-02/02:37:34",0.7528185361981119,-0.6581309876505218,0.01130728308129881
"2019-08-02/02:37:49",0.7567626952408651,-0.6535780020418671,0.01208380481230833
"2019-08-02/02:38:04",0.7561282900933194,-0.6542931857375027,0.01305511463078398
"2019-08-02/02:38:19",0.7595856422303124,-0.6503079103725361,0.01136986475156989
"2019-08-02/02:38:34",0.7604047949414841,-0.6492996163280568,0.01394833560816345
"2019-08-02/02:38:49",0.7614006740710896,-0.6481723209432766,0.01190192787311553
