Time,MVAmin_x_deg,MVAmin_y_deg,MVAmin_z_deg
2019-08-02/02:36:34,41.68227394,131.7215167,89.44182506
2019-08-02/02:36:49,41.68333757,131.7201205,89.33524834
2019-08-02/02:37:04,41.40513348,131.4447413,89.45963397
2019-08-02/02:37:19,41.22876767,131.2648185,89.30722715
2019-08-02/02:37:34,41.18575643,131.2240072,89.3974443
2019-08-02/02:37:49,40.84107386,130.8782596,89.35292728
2019-08-02/02:38:04,40.89667634,130.9324501,89.2972427
2019-08-02/02:38:19,40.59289488,130.631041,89.39385659
2019-08-02/02:38:34,40.52064416,130.5549982,89.24603428
2019-08-02/02:38:49,40.43266199,130.4700824,89.36335409
2019-08-02/02:39:04,40.17103834,130.2062109,89.2763352
2019-08-02/02:39:19,40.24507335,130.2802321,89.27565781
2019-08-02/02:39:34,39.94984843,129.9863957,89.32908177
2019-08-02/02:39:49,39.96953823,130.002777,89.20883151
2019-08-02/02:40:04,39.83675439,129.8733199,89.33005778
2019-08-02/02:40:19,39.67327091,129.7067131,89.21650767
2019-08-02/02:40:34,39.730797,129.7656093,89.26429058
2019-08-02/02:40:49,39.46928106,129.5042573,89.27090193
2019-08-02/02:41:04,39.54893662,129.5816346,89.19195636
2019-08-02/02:41:19,39.38312362,129.4188101,89.29735264
2019-08-02/02:41:34,39.31532054,129.3475741,89.1781285
2019-08-02/02:41:49,39.33738998,129.3719959,89.25793309
2019-08-02/02:42:04,39.13109741,129.1646714,89.2225465
2019-08-02/02:42:19,39.23350374,129.2660888,89.18918124
2019-08-02/02:42:34,39.05256421,129.0873124,89.26382588
2019-08-02/02:42:49,39.06110575,129.0926757,89.15707777
2019-08-02/02:43:04,39.03721089,129.0715723,89.25011916
2019-08-02/02:43:19,38.89776635,128.9301606,89.18401347
2019-08-02/02:43:34,39.00302003,129.0349291,89.16803466
2019-08-02/02:43:49,38.80845876,128.8425031,89.23971514
2019-08-02/02:44:04,38.89052776,128.9218851,89.1509625
2019-08-02/02:44:19,38.7981646,128.8321331,89.23711847
2019-08-02/02:44:34,38.74812271,128.7794177,89.14950282
2019-08-02/02:44:49,38.79377365,128.8267619,89.20388122
2019-08-02/02:45:04,38.64508775,128.6775924,89.18845009
2019-08-02/02:45:19,38.73372768,128.7651545,89.15367953
2019-08-02/02:45:34,38.61653782,128.6499161,89.21752726
2019-08-02/02:45:49,38.61560306,128.6464571,89.13631467
2019-08-02/02:46:04,38.61856448,128.6514748,89.20187385
2019-08-02/02:46:19,38.50820244,128.5398347,89.16093855
2019-08-02/02:46:34,38.58648394,128.6180044,89.15713522
2019-08-02/02:46:49,38.46157865,128.4942384,89.19415034
2019-08-02/02:47:04,38.49346757,128.5241088,89.130244
2019-08-02/02:47:19,38.45814488,128.4907901,89.19368658
2019-08-02/02:47:34,38.38924672,128.4202265,89.14101506
2019-08-02/02:47:49,38.44160328,128.4732225,89.16076465
2019-08-02/02:48:04,38.32475326,128.3567162,89.17209452
2019-08-02/02:48:19,38.37589858,128.4064549,89.12809872
2019-08-02/02:48:34,38.31232105,128.3445995,89.18227088
2019-08-02/02:48:49,38.28489222,128.3154402,89.12819284
2019-08-02/02:49:04,38.29917189,128.3307222,89.15911473
2019-08-02/02:49:19,38.21130946,128.2426377,89.15248909
2019-08-02/02:49:34,38.25837812,128.2890459,89.13194156
2019-08-02/02:49:49,38.18643991,128.2182029,89.16624812
2019-08-02/02:50:04,38.18607867,128.2164513,89.12326379
2019-08-02/02:50:19,38.18008199,128.2114427,89.15362049
2019-08-02/02:50:34,38.12236901,128.1531468,89.13582763
2019-08-02/02:50:49,38.14578979,128.1764801,89.13306276
2019-08-02/02:51:04,38.08614144,128.1173241,89.14843896
2019-08-02/02:51:19,38.09050323,128.1208272,89.12217283
2019-08-02/02:51:34,38.06696673,128.0980066,89.14409572
2019-08-02/02:51:49,38.03568448,128.0661351,89.12621529
2019-08-02/02:52:04,38.04009945,128.07073,89.13165689
2019-08-02/02:52:19,37.99863491,128.0292888,89.13253244
2019-08-02/02:52:34,37.99549712,128.0258385,89.12307975
2019-08-02/02:52:49,37.96824088,127.9988483,89.13124016
2019-08-02/02:53:04,37.94863182,127.9789676,89.12310086
2019-08-02/02:53:19,37.93001522,127.9603841,89.12417186
2019-08-02/02:53:34,37.91239799,127.9426883,89.12187719
2019-08-02/02:53:49,37.88836603,127.9186986,89.12324841
2019-08-02/02:54:04,37.87379903,127.903631,89.10835466
2019-08-02/02:54:19,37.85509248,127.8856067,89.12887245
2019-08-02/02:54:34,37.84255317,127.8725567,89.1135825
2019-08-02/02:54:49,37.83679206,127.8668292,89.11460757
2019-08-02/02:55:04,37.77852405,127.8089038,89.12512387
2019-08-02/02:55:19,37.79597091,127.8254892,89.09943341
2019-08-02/02:55:34,37.77051646,127.8009166,89.12576982
2019-08-02/02:55:49,37.71105727,127.7405897,89.10021184
2019-08-02/02:56:04,37.78356208,127.8136758,89.11711569
2019-08-02/02:56:19,37.62385379,127.6548401,89.14423193
