f,att_rot,G1,G2,G3,th1,th2,th3,ph1,ph2,ph3,O1/G1,O2/G2,O3/G3
233.49999999999997,172,119.6697949588639,119.65324949150086,89.33597921841975,92.08600408369045,90.10990240431025,2.2473425238259357,19.46570089914532,-74.31775281681675,52.987524883187994,-5101.4517241556705,6049.676450234721,-1082.847021190284
233.49999999999997,173,119.70107652428105,119.71587979132286,89.33464283882881,92.08555399914904,90.109890454976,2.2476119226364433,19.442118762172846,-74.29374195130072,52.9208417343647,-5080.079411511248,6018.214844584482,-1082.8837258161273
233.49999999999997,174,119.73192582665654,119.77737874678543,89.33340518106729,92.08511894402945,90.10988872189522,2.2478959908743237,19.418952934772054,-74.27022815187891,52.855571355829014,-5057.46670789628,5985.054214176468,-1082.917887160084
233.49999999999997,175,119.76235395579914,119.83775405123484,89.3322770338258,92.0846989084989,90.1098971303022,2.2481945154427234,19.396204644457047,-74.24721207650974,52.79172288671063,-5033.618093145617,5950.202085634848,-1082.9491949075637
233.49999999999997,176,119.79237368195508,119.89701592573638,89.33126968801524,92.08429387093584,90.10991563752694,2.2485070499812037,19.373874470555545,-74.22469374798257,52.72934923639712,-5008.538419082014,5913.666477911325,-1082.9773172037642
233.49999999999997,177,119.8219992085652,119.95517692604301,89.33039494055424,92.08390386191513,90.10994407685764,2.248833303845636,19.351962473736666,-74.20267261498765,52.6684373211381,-4982.232984328215,5875.455895404265,-1083.0019321779253
233.49999999999997,178,119.85124633857994,120.01225217708753,89.32966508014276,92.08352881781444,90.10998244191296,2.2491729496741306,19.330468078984808,-74.18114746975107,52.60905988445794,-4954.707439261543,5835.579332905669,-1083.0227688966106
233.49999999999997,179,119.88013227211549,120.0682590194806,89.32909285623447,92.08316873170742,90.11003065107643,2.2495256528688015,19.309390209879226,-74.1601165658996,52.55126379708317,-4925.9678821393645,5794.046263315631,-1083.0395296524212
233.49999999999997,180,119.90867569246356,120.12321725612237,89.32869144692756,92.08282349892907,90.11008847254217,2.2498910432437373,19.288727193563748,-74.13957752243194,52.49499030583031,-4896.020776501244,5750.866634953052,-1083.0519271902303
233.49999999999997,181,119.93689673977427,120.17714922912637,89.3284744822743,92.08249311030266,90.11015583499042,2.250268828045438,19.268476785867097,-74.11952729238229,52.440322173397185,-4864.8729950290335,5706.050863502438,-1083.0597285237577
233.49999999999997,182,119.96481698300896,120.2300792349038,89.32845598820862,92.08217747271931,90.11023272253624,2.250658473248015,19.248636158031452,-74.09996237030977,52.387314442664334,-4832.531776027732,5659.6098553880565,-1083.0626837031498
233.49999999999997,183,119.99245915695616,120.28203394676106,89.32865039294393,92.08187645216893,90.11031885500269,2.2510600087787975,19.22920207634726,-74.0808786287204,52.33592393712162,-4799.004748558708,5611.554963219513,-1083.0605849183419
