f,att_rot,res_med,G11,G12,G13,G21,G22,G23,G31,G32,G33,O1,O2,O3
36.5,"[0.9936130813122503, -0.07783160792970277, 0.08170242011257842]",2740.8393963221283,-120.90012653899254,-4.524436564436439,-4.429161277071153,-230531.89167892706,-2.2879347422958296,-121.20145337569558,-0.2623081019003642,189988.01318815487,-2.77680787507808,-2.271825612820722,89.98735796394163,-98327.03495022737
36.5,"[0.9948218207226555, -0.060444420855756686, 0.08170689690272748]",2745.037973659244,-120.56624304823148,-4.8653659204760995,-4.423950081931295,-252552.4249941048,-2.631388772854201,-120.65663146403776,-0.2614971227234975,220847.05112178033,-2.7624552651130463,-2.282710439915018,89.92776179762485,-98344.06021090008
36.5,"[0.9957270593958947, -0.04303879336775339, 0.08170242011257842]",2750.014562773291,-120.218462747285,-5.231507306070074,-4.4187548276205,-274598.7523743922,-3.00182699139586,-120.08030843032579,-0.26087570579884384,251760.76393097444,-2.7485928765591745,-2.2930659889295057,89.87160828650406,-98346.79101655875
36.5,"[0.9963285215874991, -0.02562002738843782, 0.08168899110580487]",2755.907905738912,-119.85850164658628,-5.6206812230760725,-4.413588534464567,-296623.83708456764,-3.396954273182961,-119.47567655923697,-0.2604338429046705,282661.9243482804,-2.735211656457969,-2.3029132591688413,89.81896981582906,-98335.88505936871
36.5,"[0.9966260240862582, -0.00819342884266662, 0.08166661397301238]",2762.8784260595316,-119.48800093755459,-6.030801747469623,-4.408464004807815,-318584.1762645447,-3.8145700601109658,-118.8457956571063,-0.2601617078190545,313488.2587264917,-2.7223012847204586,-2.3122751973298765,89.76991520032713,-98311.99592802321
36.5,"[0.9966194762700296, 0.009235693958827847, 0.0816352955304924]",2771.080685920674,-119.1085262515562,-6.459879083758774,-4.403393374771634,-340439.7303950497,-4.252573363427821,-118.19358614109917,-0.26004973642507606,344182.39030121424,-2.709853431913481,-2.3211715793491283,89.72450968427606,-98275.74964071013
36.5,"[0.987016790932818, -0.14723347317249202, 0.06418846309304575]",2719.8963219280813,-122.40247834927492,-3.4193344283718834,-4.46632435057939,-92586.9708394483,-1.2108848831873336,-123.33899862382133,-0.27233670759811607,-2900.786930574283,-2.8297690443905346,-2.262362859627039,90.48836823612683,-98529.81775132233
36.5,"[0.9894367721489027, -0.1299597721030491, 0.06422874398961924]",2721.1960805643503,-122.1158623388184,-3.6550902735619006,-4.460650872271673,-114498.03076872732,-1.4414075602531562,-122.91541567477897,-0.27073435676787033,27682.27979312705,-2.8133554868953636,-2.2749952721943716,90.40670898989237,-98611.75132756282
36.5,"[0.9915550490110054, -0.11264646505130693, 0.06426008630734739]",2726.260583917174,-121.80831395088194,-3.924922124089166,-4.454938940960648,-136665.13528955248,-1.708250306962044,-122.447290545647,-0.2693613836492149,58649.59191520287,-2.7974707883878414,-2.2870055762141828,90.32815591503427,-98676.18568004685
36.5,"[0.9933709762714734, -0.0952988258183112, 0.06428248049905663]",2724.9195902534857,-121.4818278293992,-4.226303794361133,-4.449202856534975,-159024.79355500772,-2.0087631283926046,-121.93831563683628,-0.2682071956899328,89910.80690053613,-2.7821106250890173,-2.298409967242016,90.25279710625534,-98723.80386036001
36.5,"[0.9948840007812717, -0.07792213866302264, 0.0642959197432592]",2723.2230287171687,-121.13834488094503,-4.556774557169467,-4.443456827830746,-181517.20337419317,-2.3403647419776905,-121.39208523546122,-0.26726134230755877,121380.77885317008,-2.76726793811943,-2.3092280321679737,90.1807168490824,-98755.2990862039
36.5,"[0.9960936616584779, -0.06052169669268052, 0.06430039994623113]",2734.3668424914895,-120.77974108088112,-4.913954333292159,-4.43771478366919,-204086.33635001583,-2.700551802635579,-120.81208355699823,-0.26651334956294576,152979.58382135167,-2.7529356448155786,-2.319479168392565,90.11199569761764,-98771.37232250773
36.5,"[0.9969995904286705, -0.04310280025047086, 0.0642959197432592]",2738.573253668342,-120.40782632716913,-5.295545090997635,-4.431990375369027,-226679.90707036937,-3.0869068742874353,-120.20167345198924,-0.2659524771187632,184632.57028074318,-2.7391038112278023,-2.329186426320671,90.04671043079699,-98772.7507877772
36.5,"[0.9976015111371702, -0.025670755300990618, 0.06428248049905663]",2743.7769751427363,-120.02433218931554,-5.699347346065741,-4.426296956275323,-249249.42800729652,-3.4971119452103796,-119.56407882285022,-0.26556860343128513,216270.41384168324,-2.7257621610527094,-2.3383727442816307,89.98493413496264,-98760.13027496375
36.5,"[0.9978992404330982, -0.008230871813999376, 0.06426008630734739]",2750.1517334808145,-119.63091251006087,-6.123259517812356,-4.420647414076583,-271750.1163905669,-3.928949844352772,-118.90238218836159,-0.2653515914495938,247829.00347653165,-2.712899003549354,-2.347063149960773,89.92673614773173,-98734.22760445296
36.5,"[0.9978926876252264, 0.009211537853048762, 0.06422874398961924]",2757.8568555408547,-119.22913751648856,-6.565285883000063,-4.4150543152856025,-294140.84037760086,-4.380310735975689,-118.21951621755049,-0.26529153040068076,279249.3572319377,-2.7005039533562942,-2.3552800786846437,89.87218210419772,-98695.71447753703
36.5,"[0.9879810626291627, -0.1473319535097325, 0.046762328440279874]",2716.207121013488,-122.76886933077333,-3.390449785921101,-4.483918101156339,-41182.42552524326,-1.19947799321247,-123.69832995858378,-0.2772009545990591,-74670.64266999614,-2.8210643188311995,-2.302823368438448,90.7415621617514,-99010.56561868252
36.5,"[0.9904021501314776, -0.13005035582625385, 0.04680262775112902]",2719.8495712884483,-122.45520821077034,-3.645346132075362,-4.477698620626525,-63669.50929025405,-1.4496581632105094,-123.23543941060147,-0.2756655605951234,-43316.59447853137,-2.8046217791081456,-2.314875731440936,90.65064855959247,-99092.84166708495
36.5,"[0.9925213953566852, -0.11272913405473509, 0.04683398439689175]",2698.919813709237,-122.12110401840911,-3.9336499291208757,-4.4714412451538985,-86417.53186645125,-1.7354825064072752,-122.72891294472923,-0.274358330438171,-11569.793096586738,-2.7887259251117884,-2.326280568125197,90.56283544730054,-99156.94812214316
36.5,"[0.99433815276216, -0.09537356440712218, 0.04685638882603]",2702.1850823195964,-121.76859539483465,-4.252778203439852,-4.465160644652508,-109360.64099468668,-2.0542453045567637,-122.18251968152668,-0.27326836043914765,20476.126740373147,-2.7733683183171745,-2.3370598196345007,90.47821233035327,-99203.64898077611
36.5,"[0.995851868945997, -0.07798893355805701, 0.04686983421393761]",2690.001809225464,-121.39965757798265,-4.6002262324444905,-4.458871562181311,-132436.93877040563,-2.403315750253463,-121.5999221004619,-0.2723845794033889,52732.97658778559,-2.7585440031578883,-2.347230498639757,90.39686470704197,-99233.67258212816
36.5,"[0.997062082815583, -0.0605805370345049, 0.046874316465019175]",2710.5263497150495,-121.01619495467486,-4.973577556023579,-4.452588246949068,-155588.5307087204,-2.7801527008993743,-120.98465648606228,-0.27169620236621705,85118.17675753866,-2.74424070904282,-2.356819317733233,90.31887420242431,-99247.82522750698
36.5,"[0.9979684257280497, -0.04315367760268583, 0.04686983421393761]",2726.4566631620455,-120.62003673143973,-5.370509692220963,-4.4463246648948385,-178761.5101125464,-3.1823113850223868,-120.3401236565633,-0.27119244823937577,117554.7397842286,-2.730447132994667,-2.3658510323253457,90.24431849846907,-99246.86769628356
36.5,"[0.9985706216025658, -0.025713663652800534, 0.04685638882603]",2733.67236913347,-120.21292989112479,-5.788803741408275,-4.4400944360374,-201905.9633183595,-3.607452134055645,-119.66957720477197,-0.2708628490085588,149971.27687171343,-2.7171538298524918,-2.374348090630187,90.17327139727638,-99231.56113430105
36.5,"[0.9988684870044346, -0.008265807582043323, 0.04683398439689175]",2735.9848539759173,-119.79653624336672,-6.226348440458027,-4.43391075831312,-224975.89001278518,-4.053345946205718,-118.97611624061638,-0.2706968374509057,182301.90236973902,-2.704345279935513,-2.3823407464815003,90.10580282431371,-99202.67881446263
36.5,"[0.9988619312009691, 0.009184575823605448, 0.04680262775112902]",2743.1781272593093,-119.37243035285715,-6.681142868655364,-4.427786267004146,-247929.10864515885,-4.517878336086858,-118.26268012327994,-0.27068481969835323,214486.11936119193,-2.69200901715009,-2.3898549026404203,90.04197885449881,-99160.95674166922
36.5,"[0.9886443857230433, -0.1473855551066972, 0.029321949529274232]",2702.7938786485597,-123.15948459912858,-3.372785097787942,-4.502694816651769,10435.19374978673,-1.1987303440710364,-124.0758844974656,-0.282253726622648,-146685.5329298115,-2.813129343014075,-2.3440502712661546,91.0184315148288,-99545.58339259216
36.5,"[0.9910658420248816, -0.13010132495124788, 0.029362254978838577]",2678.0471943410575,-122.81847662960978,-3.646899662190537,-4.495916451345099,-12668.984479514213,-1.468641533430321,-123.57334462832017,-0.2807827255381892,-114504.06270566641,-2.796669738409778,-2.3554872506448836,90.91808546571298,-99627.15800719002
36.5,"[0.9931854100705688, -0.11277746467189854, 0.02939361640109782]",2666.803957277012,-122.45756006651912,-3.9537026650296943,-4.48910117013391,-36037.05332795635,-1.773476525851129,-123.0281426839422,-0.27953844910753606,-81923.866728762,-2.780772707383347,-2.3662542062349745,90.82083981894995,-99689.89668645838
36.5,"[0.9950024442191455, -0.09541925128431032, 0.029416024243058933]",2663.2613604775297,-122.0788089527495,-4.290566372232511,-4.482264199976717,-59600.90189244803,-2.1104737250060386,-122.44412481858099,-0.27850944372979847,-49041.95086870194,-2.765430089964649,-2.376372616164864,90.72678552777377,-99734.60974111136
36.5,"[0.9965163909844077, -0.07803197226843386, 0.029429471679076183]",2677.7610295827185,-121.68423330156145,-4.65494143671087,-4.475420517619352,-83296.51142513036,-2.4769596653325516,-121.82501265025559,-0.27768422804782217,-15949.452256060362,-2.75063264662391,-2.385866197502542,90.63600943365498,-99762.1275552553
36.5,"[0.9977267892035052, -0.06062092395789174, 0.02943395461293029]",2676.846642657244,-121.27576166396085,-5.04438090033362,-4.468584843855445,-107064.17224525525,-2.8703594484196384,-121.1743892237532,-0.2770521572464077,17268.430711958685,-2.7363668830412715,-2.39476299450269,90.54859425989164,-99773.30935762373
36.5,"[0.9986332701774148, -0.043191409926663975, 0.029429471679076183]",2705.891274275794,-120.855241512766,-5.456539352428421,-4.461771455078235,-130848.38517605232,-3.2882007866108256,-120.495693340898,-0.2766018571425394,50532.37013468581,-2.7226208040143605,-2.4030894155051974,90.4646186554051,-99768.99011459928
36.5,"[0.9992355577832507, -0.02574873937356796, 0.029416024243058933]",2725.7144166498556,-120.42443062033628,-5.889184802484907,-4.454994241511384,-154597.88234928338,-3.72813055347388,-119.79219760978035,-0.2763224882229331,83769.04911736306,-2.7093819631670732,-2.4108717823109806,90.38415718728555,-99749.97451707673
36.5,"[0.9995334685583734, -0.008298225505025111, 0.02939361640109782]",2730.8199047485873,-119.98499842549546,-6.340196707133449,-4.44826660258371,-178265.47300842087,-4.187910074478529,-119.0670148072585,-0.2762037485909334,116910.85890626612,-2.6966341239070695,-2.4181417314640856,90.30728041939527,-99717.10763219325
36.5,"[0.9995269117562754, 0.009154816083393282, 0.029362254978838577]",2737.4770065546772,-119.53852009643927,-6.8075741492037976,-4.441601358050315,-201808.0010731721,-4.665423051061215,-118.3230871189112,-0.27623542014192526,149895.86591609125,-2.6843634615389256,-2.424926870673896,90.23405489544965,-99671.16313414452
36.5,"[0.9890065581598194, -0.14739426163582053, 0.011872638868393879]",2680.832533947274,-123.5745437485506,-3.366551291752434,-4.522673089892643,62259.89335974716,-1.2088672793724924,-124.4717355316796,-0.28750248717541776,-218938.7121543927,-2.8059607683396144,-2.3860831622766154,91.31925452464972,-100135.21790510394
36.5,"[0.9914276456621343, -0.1301126639523419, 0.011912938179243028]",2665.396398977079,-123.20587984005921,-3.6599490347171684,-4.515322354589064,38497.5138566836,-1.4985761803020639,-123.9291968409539,-0.286093208340541,-185873.2297861594,-2.7894955041989635,-2.39686911212585,91.20928572788883,-100214.97154208664
36.5,"[0.9935468908873418, -0.11279144218082311, 0.01194429482500576]",2650.3156697375853,-122.81787955247734,-3.985276531715476,-4.507936147955781,14470.212783849693,-1.8224426144909194,-123.34503987845409,-0.2849085207714701,-152405.78077373691,-2.7736091464944868,-2.4069619451576085,91.10242303363057,-100275.20205040477
36.5,"[0.9953636482928166, -0.0954358725332102, 0.011966699254144009]",2649.7810497935893,-122.41265595027129,-4.339856238767503,-4.500530088241199,-9751.54652889652,-2.177654083982346,-122.72318128359136,-0.2839372722523799,-118636.69602144472,-2.7582917073437137,-2.4163864577764143,90.99875897165492,-100316.80456320144
36.5,"[0.9968773644766536, -0.07805124168414504, 0.011980144642051618]",2653.7609677822124,-121.99224885840208,-4.721101228085012,-4.49311971034863,-34101.683634840556,-2.5614959373329977,-122.0673996941907,-0.2831675661681322,-84660.0647504307,-2.743530688176534,-2.425170452754884,90.89838175287152,-100340.69432412754
36.5,"[0.9980875783462396, -0.06064284516059293, 0.011984626893133187]",2663.5863455545177,-121.5586082711782,-5.126537635423696,-4.48572003120333,-58518.73139040006,-2.971362368715586,-121.38132112912774,-0.2825879147240434,-50563.66476353676,-2.7293123409190527,-2.4333428473953416,90.80137526044795,-100347.78419168536
