,f,att_rot,res_med,G1,G2,G3,th1,th2,th3,ph1,ph2,ph3,O1/G1,O2/G2,O3/G3
13,233.49,"[0.9567460675255146, -0.24694575916288497, 0.15380102179741825]",880.0963332,114.3847016,106.7592611,87.32702268,90.40880268,88.65031473,2.105859559,25.64976525,-81.14203522,-17.89643034,-2488.457153,2503.010265,-796.8239737
14,233.49,"[0.9647910675507944, -0.21332993548019186, 0.1538458143799031]",810.06158,114.9790037,108.1211073,87.26333296,90.40755032,88.6673444,2.170085804,25.00862772,-80.38944489,-18.45517627,-2946.335473,3182.948777,-832.6117898
15,233.49,"[0.971658124559343, -0.17945383124402747, 0.15387271177717182]",733.4930091,115.5713522,109.3991079,87.24175516,90.40655206,88.68222951,2.230402911,24.43862695,-79.73219491,-18.94772787,-3427.888587,3890.632407,-870.6154105
16,233.49,"[0.977338872099984, -0.14535871926918972, 0.1538816812188891]",679.7994429,116.1425725,110.5546994,87.26296916,90.40586838,88.6946193,2.285480638,23.95260515,-79.18159352,-19.37203295,-3929.408241,4622.269258,-910.5368552
17,233.49,"[0.9818263890568919, -0.11108613919767062, 0.15387271177717182]",714.7691511,116.6726327,111.5481151,87.32761966,90.40555923,88.70416965,2.333931558,23.5633909,-78.7488874,-19.72592888,-4446.362127,5373.561085,-951.9709486
18,233.49,"[0.9851152080819031, -0.07667784688900096, 0.1538458143799031]",775.9598859,117.1417156,112.3402576,87.43632623,90.40568117,88.71055104,2.374360414,23.2834122,-78.44512704,-20.00708206,-4973.39854,6139.684323,-994.4031108
19,233.49,"[0.9872013222556397, -0.042175763547167844, 0.15380102179741825]",862.1759452,117.5315244,112.8949494,87.5896942,90.40628389,88.71345743,2.40543347,23.12425843,-78.28101347,-20.21299965,-5504.379504,6915.261364,-1037.214706
20,233.49,"[0.9880821899693223, -0.007621924646084743, 0.1537383886025793]",963.260298,117.826732,113.1814237,87.78832475,90.40740673,88.7126161,2.425940795,23.09620441,-78.26671994,-20.34091077,-6032.446817,7694.32263,-1079.695836
21,233.49,"[0.941706881617677, -0.31465573043087103, 0.11907947103059059]",1000.336674,114.7799339,106.9521246,87.7596224,90.40705511,88.64621792,2.034183012,25.82887288,-81.32908284,-17.26744985,-955.0011736,169.7816872,-684.3056199
22,233.49,"[0.9521214856434242, -0.28154132911987517, 0.11916021388690314]",809.1840646,115.3522778,108.4813629,87.56496351,90.40528675,88.66739128,2.106278127,25.04606328,-80.40430868,-17.94035574,-1363.167454,793.3738466,-715.1724197
23,233.49,"[0.9613742033519924, -0.24808363450531912, 0.11922311613086155]",658.3031693,115.9431123,109.9659434,87.41145933,90.40370831,88.68673815,2.175959663,24.32209724,-79.56605011,-18.54491742,-1803.182372,1453.670262,-748.8018785
24,233.49,"[0.9694537617321254, -0.21432340963432786, 0.11926810112577092]",574.7473408,116.5319648,111.3644431,87.29973468,90.4023871,88.70386774,2.241868889,23.67103743,-78.82658209,-19.07911566,-2272.678794,2147.639924,-785.0686942
25,233.49,"[0.9763503170864978, -0.18030178614054276, 0.11929511406434438]",546.3366499,117.0960136,112.6317269,87.23035273,90.40139377,88.71838696,2.30251816,23.10742604,-78.19825533,-19.54083944,-2768.409121,2871.730118,-823.7425176
26,233.49,"[0.982055467024743, -0.14606021413156167, 0.11930412203547729]",522.5436437,117.6109986,113.7205813,87.20382615,90.40079967,88.7299085,2.356333148,22.64591369,-77.69336785,-19.9278479,-3286.205749,3621.861953,-864.4754594
27,233.49,"[0.9865622607004723, -0.11164041168836764, 0.11929511406434438]",585.7730698,118.0525038,114.5839408,87.22062846,90.40067382,88.73805937,2.401701841,22.3008154,-77.3240245,-20.23765417,-3820.966416,4393.414512,-906.7948555
28,233.49,"[0.9898652072798101, -0.07708431403827362, 0.11926810112577092]",675.498272,118.397575,115.1776428,87.28120875,90.40107767,88.74249057,2.437076693,22.08560258,-77.10197987,-20.46768363,-4366.6692,5181.198149,-950.1038129
29,233.49,"[0.9919602826311295, -0.04243402246330752, 0.11922311613086155]",811.4211866,118.6265627,115.4635491,87.38600364,90.40206196,88.74288769,2.461036228,22.01234625,-77.03845528,-20.61503226,-4916.421659,5979.412596,-993.6915356
30,233.49,"[0.9928449342278366, -0.007731753006285119, 0.11916021388690314]",955.6780829,118.7250156,115.4127657,87.53545126,90.40366151,88.73898274,2.472391553,22.09113244,-77.14392012,-20.67652365,-5462.550401,6781.593273,-1036.754555
31,233.49,"[0.9451035704606069, -0.3156949922575245, 0.08435587096423078]",876.7077189,116.5481334,110.3627904,88.00453623,90.40191416,88.68280001,2.099036463,24.49866049,-79.74442937,-17.91500145,-198.9380891,-948.7502263,-632.601875
32,233.49,"[0.9555500318428669, -0.2824792969092649, 0.08443686080582985]",702.8400594,117.1447669,111.9894272,87.75994479,90.39998663,88.70458848,2.174149777,23.68710059,-78.8165707,-18.56957965,-612.8765173,-315.6036562,-663.3864187
33,233.49,"[0.9648310528000296, -0.24891925815346294, 0.0844999554622128]",532.4007872,117.7413001,113.5302565,87.55719243,90.39831482,88.72409368,2.245704939,22.94976815,-77.99099261,-19.14913807,-1062.269114,357.3539822,-697.2070569
34,233.49,"[0.9729353258376903, -0.21505576372781487, 0.08454507806225983]",410.5921546,118.3108537,114.9328022,87.39673853,90.3969808,88.74087694,2.312048708,22.30305275,-77.28115893,-19.65148196,-1544.46829,1066.831391,-733.9197428
35,233.49,"[0.97985297714752, -0.18093007108400688, 0.08457217363103338]",414.773308,118.8243346,116.1413469,87.27897537,90.39606874,88.75450441,2.371406008,21.76360153,-76.70048034,-20.07428172,-2055.811502,1808.987158,-773.2548477
36,233.49,"[0.9855755786369803, -0.14658375712186553, 0.08458120915675665]",423.0175761,119.2519509,117.0995527,87.2042419,90.39566105,88.76455655,2.421939876,21.34781229,-76.26216779,-20.41497036,-2591.584475,2579.423006,-814.8041334
37,233.49,"[0.9900961581976557, -0.11205866753430954, 0.08457217363103338]",538.5672124,119.5651976,117.7538107,87.17284041,90.39583331,88.77063842,2.461854289,21.07124622,-75.97907143,-20.67080789,-3146.014642,3373.161728,-858.014387
38,233.49,"[0.993409208199693, -0.07739686582481903, 0.08454507806225983]",696.8445328,119.7391851,118.0571318,87.18505261,90.39664934,88.77239134,2.489486986,20.94797978,-75.86349467,-20.83873686,-3712.30036,4184.606544,-902.1932649
39,233.49,"[0.9955106922020013, -0.04264058205953575, 0.0844999554622128]",829.8474153,119.7550882,117.9732394,87.24115738,90.3981553,88.76950538,2.503435132,20.98991785,-75.92697142,-20.91540132,-4282.681916,5007.481796,-946.527229
40,233.49,"[0.9963980498700324, -0.007832161416432643, 0.08443686080582985]",1045.588655,119.602402,117.4803949,87.34144647,90.40037464,88.76173388,2.502669627,21.20610256,-76.17999492,-20.89712276,-4848.56224,5834.758231,-990.1140868
41,233.49,"[0.9473487961849753, -0.3163496283651978, 0.04952949626312662]",801.8908197,118.5750167,114.1679694,88.31288126,90.39644002,88.72055617,2.163390662,23.11526994,-78.15138099,-18.51859023,613.4699384,-2111.001275,-577.7416103
42,233.49,"[0.957814387519708, -0.28307310718797074, 0.049610634416365755]",627.1584012,119.1895996,115.8728805,88.01727983,90.39439263,88.74256672,2.24052303,22.28658822,-77.23558401,-19.14797093,192.7590299,-1466.556741,-608.3975308
43,233.49,"[0.9671124042310604, -0.24945161202861915, 0.049673844614053435]",439.1098781,119.7768991,117.4347366,87.7643395,90.39268856,88.76174762,2.312574599,21.55132546,-76.44028133,-19.69480892,-267.5793693,-778.9396593,-642.4098374
44,233.49,"[0.9752315181179197, -0.21552610550000045, 0.04971904984430057]",307.0797822,120.3023472,118.7881795,87.55434176,90.3914262,88.77761472,2.377560203,20.92831112,-75.78007151,-20.15667352,-764.5406779,-51.74152314,-679.60974
45,233.49,"[0.9821618372906686, -0.1813379206059961, 0.04974619503149742]",288.6610852,120.7299089,119.8661405,87.38749885,90.39070312,88.78969836,2.433398515,20.43623689,-75.26933481,-20.53089498,-1293.94931,710.8716433,-719.6786398
46,233.49,"[0.9878949182229284, -0.14692871038361324, 0.04975524710341479]",430.9553746,121.0245009,120.6038934,87.26397304,90.39061062,88.79755462,2.478020529,20.09297581,-74.92206389,-20.81455245,-1850.427196,1504.146922,-762.1328052
47,233.49,"[0.9924237760386969, -0.11234039715517538, 0.04974619503149742]",576.5200556,121.1549082,120.9438656,87.18389751,90.39122769,88.80077763,2.50949884,19.91483452,-74.75168153,-21.004439,-2427.400508,2322.711527,-806.3223301
48,233.49,"[0.9957428930223425, -0.0776151214524301, 0.04971904984430057]",723.1369601,121.096935,120.8408235,87.14739764,90.39261368,88.79901315,2.526183504,19.91574825,-74.77081396,-21.09697102,-3017.148593,3160.512188,-851.4436968
49,233.49,"[0.9978482253410916, -0.042795190674802586, 0.049673844614053435]",935.8663638,120.8363655,120.2667967,87.15461206,90.39480243,88.79197404,2.526855834,20.10646837,-74.99101381,-21.08822345,-3610.904386,4010.731465,-896.5696719
50,233.49,"[0.9987372079718155, -0.007923027544346178, 0.049610634416365755]",1122.835281,120.3712613,119.2150334,87.20570806,90.39779628,88.77945773,2.510836619,20.49378249,-75.42240958,-20.97380415,-4199.01671,4865.686283,-940.6951988
