f,att_rot,G11,G12,G13,G21,G22,G23,G31,G32,G33,O1,O2,O3
233.68,228,111.01845695041678,39.97731299076473,-2.449418916472661,-416379.93082456343,-32.66884749167046,113.44720636987634,0.9808656334504343,449123.6262249636,3.8556913903250565,-1.1888854376409765,92.46383788361699,-61158.7957109338
233.68,229,111.04520452955295,40.02914283094799,-2.4505481826367306,-407519.1919928428,-32.63224911892459,113.47296491197535,0.9816757538405193,436558.3486341603,3.857108564948686,-1.1896896108292707,92.51792472200684,-60625.35765603087
233.68,230,111.07619735960871,40.07914917600668,-2.451696912278221,-398577.54268088675,-32.600360659459945,113.50314039102234,0.9824916239160245,423878.29891080986,3.8588218045199993,-1.1906975129680724,92.57299802339364,-60085.65068867272
233.68,231,111.11141820546925,40.12734153729604,-2.452864925427262,-389556.08083589614,-32.57316004630049,113.53771429633885,0.9833129539272223,411085.03608284506,3.8608287144979743,-1.1919072331531873,92.62905556993307,-59539.71360574147
233.68,232,111.15084828418128,40.17372956070004,-2.454052612022471,-380455.93212449184,-32.55062564803002,113.57666772336889,0.9841397606706981,398180.1317333697,3.863131606769793,-1.1933203045627034,92.6860942710479,-58987.52598701438
233.68,233,111.19447019503625,40.21832066316225,-2.4552595038167815,-371278.19131157506,-32.532735835713304,113.61998088345058,0.9849719995288194,385165.16889451223,3.865729814465504,-1.1949361688257454,92.74411024174401,-58429.106445543315
233.68,234,111.24226410923332,40.26112298439851,-2.456485734872292,-362023.99678433564,-32.519468838812784,113.66763308449167,0.9858094200937223,372041.7560854407,3.8686210934881156,-1.1967530793335643,92.80309867812238,-57864.48921807996
233.68,235,111.29421035906424,40.302143251727536,-2.4577311992598436,-352694.48575604893,-32.51080405706133,113.71960361644798,0.9866521010680751,358811.50128320657,3.8718076135876975,-1.1987724090878433,92.8630539235629,-57293.656107974886
233.68,236,111.35028866759639,40.341387627989555,-2.4589956179427066,-343290.8041892996,-32.50672044528244,113.77587058828597,0.9874996575449848,345476.043684709,3.8752864162570524,-1.2009919196442456,92.92396938592756,-56716.65435877661
233.68,237,111.41047734022331,40.37886194677944,-2.4602789601713417,-333814.12495916424,-32.5071970600613,113.83641126941804,0.9883521275434154,332037.0446506529,3.879056599986602,-1.2034109035605762,92.9858375799726,-56133.50604431765
233.68,238,111.4747547330285,40.414570874743305,-2.4615810177974584,-324265.62559001124,-32.512213804131086,113.90120267172887,0.9892094346650132,318496.17780093546,3.883121993991866,-1.2060320463574805,93.04865007552056,-55544.17035048045
233.68,239,111.5430978747324,40.44851877499277,-2.4629014715299853,-314646.5067797619,-32.52175012285538,113.97022054274342,0.9900713732454741,304855.1520385256,3.8874766232355182,-1.2088507762076757,93.11239749707492,-54948.73922664477
233.68,240,111.61548340841482,40.4807090039162,-2.4642402302022637,-304957.98375682294,-32.53578582393553,114.04343996624586,0.9909376696213695,291115.70045033057,3.8921244702187527,-1.2118702924792795,93.17706950757052,-54347.1672531317
233.68,241,111.69188636787362,40.51114486956177,-2.465597105988101,-295201.30363447196,-32.55430126447846,114.12083548234392,0.9918079835705507,277279.57848264044,3.897061302748489,-1.2150871031600552,93.24265479727515,-53739.52980704264
233.68,242,111.77228264629724,40.53982769426056,-2.466971568685948,-285377.7070642943,-32.577276203950625,114.20238025399222,0.9926824751697073,263348.58391160844,3.9022915370591433,-1.2185046377019029,93.30914106744075,-53125.776091967906
233.68,243,111.8566441339691,40.566760451371266,-2.4683634421622838,-275488.5117094395,-32.604691213405864,114.2880470539472,0.9935606414623166,249324.53697144735,3.9078128975437516,-1.222121314352983,93.3765150208555,-52505.95718571125
