f,att_rot,G1,G2,G3,th1,th2,th3,ph1,ph2,,ph3,O1/G1,O2/G2,O3/G3
233.68,107,124.8355682,132.063371,92.12471696,91.1134695,89.58492045,3.112822012,15.01650827,-69.19346448,85.94147429,-20.94770886,-2886.5817,2792.021998,-598.5558998
233.68,108,124.6442372,131.7375961,92.08932479,91.11501825,89.58394074,3.09795704,15.09995402,-69.27127074,86.12617958,-20.86803807,-2975.057084,2911.899484,-606.8359913
233.68,109,124.4519386,131.408393,92.05501534,91.11659234,89.58293799,3.082988345,15.18521932,-69.35094612,86.31345948,-20.7871093,-3062.634491,3030.8493,-614.9817828
233.68,110,124.2587886,131.0759833,92.0217769,91.11819051,89.58191299,3.067926152,15.27224684,-69.43244743,86.5032082,-20.70494798,-3149.278673,3148.827714,-622.9907646
233.68,111,124.0649014,130.7405885,91.98959755,91.11981181,89.58086621,3.052781407,15.36097925,-69.51573043,86.69531932,-20.62158625,-3234.955461,3265.791461,-630.8606098
233.68,112,123.8703931,130.4024316,91.95846514,91.12145491,89.57979829,3.037564711,15.45135708,-69.60074963,86.88968554,-20.53705495,-3319.631131,3381.69764,-638.5892236
233.68,113,123.6753776,130.0617352,91.92836732,91.12311869,89.57870992,3.02228708,15.54332118,-69.68745849,87.08619942,-20.45139125,-3403.273112,3496.503809,-646.1744321
233.68,114,123.4799694,129.7187219,91.89929148,91.12480197,89.5776017,3.006958607,15.63681053,-69.77580958,87.28475306,-20.3646261,-3485.849373,3610.168082,-653.614673
233.68,115,123.2842821,129.3736138,91.87122474,91.12650364,89.57647429,2.991588446,15.73176367,-69.86575434,87.48523799,-20.27678906,-3567.328805,3722.649008,-660.9082933
233.68,116,123.0884268,129.0266317,91.84415406,91.12822239,89.57532836,2.976184388,15.82811938,-69.95724343,87.68754616,-20.18790266,-3647.68146,3833.905754,-668.0542762
233.68,117,122.8925156,128.6779954,91.8180668,91.12995709,89.57416455,2.960761574,15.92581453,-70.0502266,87.89156916,-20.09803347,-3726.877853,3943.898002,-675.0504713
233.68,118,122.6966572,128.3279232,91.79294939,91.13170657,89.57298356,2.94532483,16.02478684,-70.1446528,88.0971983,-20.00719145,-3804.889791,4052.586076,-681.8964237
